title,author_name,length
Sahir Ludhiyanvi,Sahir Ludhiyanvi,Length: 2 hrs and 33 mins
Hotel,Arthur Hailey,Length: 15 hrs and 17 mins
The 7 Principles of Public Speaking,Richard Zeoli,Length: 5 hrs
Everything Is F--ked (Hindi Edition),Mark Manson,Length: 9 hrs and 58 mins
And Then She Vanished,Nick Jones,Length: 9 hrs and 7 mins
The Girl in Room 105,Chetan Bhagat,Length: 8 hrs and 23 mins
More of Poirot's Finest Cases,Agatha Christie,Length: 13 hrs and 27 mins
It's Not Luck,Eliyahu M. Goldratt,Length: 8 hrs and 30 mins
Chandpur Ki Chanda (Hindi Edition),Atul Kumar Rai,Length: 11 hrs and 57 mins
The Tales of Beedle the Bard,J.K. Rowling,Length: 1 hr and 35 mins
Charitra (Hindi),OSHO,Length: 1 hr and 42 mins
Veda 360 Degrees: Deep Dive into the Foundation of Sanatan Dharma (Hindi Edition),Devdutt Pattanaik,Length: 5 hrs and 18 mins
Philosophia Ultima,Osho,Length: 19 hrs and 43 mins
Artificial Intelligence in Practice,"Bernard Marr,Matt Ward - contributor",Length: 7 hrs and 2 mins
Jin Sutra Vol.1,OSHO,Length: 16 hrs and 57 mins
Absolute Tao,OSHO,Length: 15 hrs and 15 mins
Yupi 65 (UP 65) (Hindi Edition),Nikhil Sachan,Length: 5 hrs and 55 mins
How to Stop Worrying and Start Living,Dale Carnegie,Length: 9 hrs and 42 mins
Ruthless Prince,Faith Summers,Length: 12 hrs and 29 mins
Code Kakori (Hindi Edition),Manoj Rajan Tripathi,Length: 7 hrs and 50 mins
The Vault of Vishnu,Ashwin Sanghi,Length: 10 hrs and 2 mins
Son of Bhrigu,Christopher C. Doyle,Length: 10 hrs and 48 mins
Tripwire,Lee Child,Length: 15 hrs and 46 mins
Astabal (Hindi Edition),"Nilotpal Mrinal,Hind Yugm",Length: 3 hrs and 38 mins
Vayam Raksham (Hindi Edition),Acharya Chatursen,Length: 24 hrs and 27 mins
Karma Bhoomi [Land of Work],Premchand,Length: 12 hrs and 52 mins
Falling in Love Again,Ruskin Bond,Length: 5 hrs and 32 mins
Kasari Masari,Manoj Ranjan Tripathi,Length: 8 hrs and 15 mins
Tara,Rachel Wooten PhD,Length: 10 hrs and 41 mins
Karna: The King of Anga (Hindi Edition),Kevin Missal,Length: 15 hrs and 27 mins
The Time Traveler's Wife,Audrey Niffenegger,Length: 17 hrs and 38 mins
Ashtavakra Mahagita (Hindi Edition),M.I. Rajasve,Length: 14 hrs and 47 mins
The Ikigai Journey (Hindi Edition),"Hector Garcia,Fransesc Miralles",Length: 6 hrs and 39 mins
Maine Gandhi Ko Kyon Mara? (Hindi Edition),Nathuram Godse,Length: 7 hrs and 23 mins
Murder at the Patel Motel,"Maulik Pancholy,Zackary Grady,Achilles Stamatelaky",Length: 4 hrs and 29 mins
Agnihotra (Hindi Edition),Saurabh Kudesia,Length: 11 hrs and 21 mins
Jaan ka Khatra [Danger to Life],Surender Mohan Pathak,Length: 4 hrs and 15 mins
Dharmayoddha Kalki: Avatar of Vishnu (Hindi Edition),Kevin Missal,Length: 16 hrs and 47 mins
The Reluctant Bride,Monica Murphy,Length: 8 hrs and 3 mins
The House of Strange Stories,Ruskin Bond,Length: 6 hrs and 27 mins
Get Organized: Do More in Less Time,"Ciara Conlon,The Great Courses",Length: 4 hrs and 45 mins
Columbus Day,Craig Alanson,Length: 16 hrs and 23 mins
The Myth of Capitalism,"Jonathan Tepper,Denise Hearn",Length: 9 hrs and 53 mins
Homo Deus (Marathi Edition),Yuval Noah Harari,Length: 17 hrs and 29 mins
400 Days,Chetan Bhagat,Length: 9 hrs and 59 mins
Mind Full to Mindful,Om Swami,Length: 4 hrs and 4 mins
The Road,Cormac McCarthy,Length: 6 hrs and 39 mins
30 Day Guide to Living the Law of Attraction,Jack Canfield,Length: 5 hrs and 43 mins
The Four Agreements (Hindi Edition),Don Miguel Ruiz,Length: 4 hrs and 19 mins
Chanakya Mantra,Ashwin Sanghi,Length: 16 hrs and 44 mins
The Three Musketeers,"Alexandre Dumas,Marty Ross",Length: 8 hrs and 35 mins
Maybe This Time,Cara Bastone,Length: 5 hrs and 45 mins
Suno Mahabharat Devdutt Pattanaik Ke Saath [Listen to Mahabharata with Devdutt Pattanaik],Devdutt Pattanaik,Length: 4 hrs and 32 mins
Manusmriti (Hindi Edition),"Vidya Vihar,Manu",Length: 23 hrs and 41 mins
"The Girl He Never Noticed, Part 1 (Hindi Edition)",Neilani Alejandrino,Length: 12 hrs and 40 mins
Valmiki's Women,Anand Neelakantan,Length: 7 hrs and 28 mins
The Power of Your Subconscious Mind (Marathi Edition),Joseph Murphy,Length: 9 hrs and 40 mins
Walking the Nile,Levison Wood,Length: 11 hrs and 12 mins
Ichigo Ichie (Hindi Edition),"Hector Garcia,Fransesc Miralles",Length: 4 hrs and 9 mins
Directorate S,Steve Coll,Length: 28 hrs and 30 mins
Kadal Pura - Part 3,Sandilyan,Length: 19 hrs and 3 mins
Ishq Banarasi (Hindi Edition),"Atul Kumar Rai,Hind Yugm",Length: 3 hrs and 36 mins
Feeling is the Secret,Neville Goddard,Length: 40 mins
Ramayanam (Volume 1),Dushyant Sridhar,Length: 11 hrs and 19 mins
Mahamaya Neelavanti,Sumedh Sumedh,Length: 16 hrs and 12 mins
Bakar Puran (Hindi Edition),Ajeet Bharti,Length: 4 hrs and 28 mins
Sivagamiyin Sabatham,Kalki,Length: 29 hrs and 21 mins
Free Yourself From Fears with NLP,Joseph O'Connor,Length: 7 hrs and 43 mins
Darkness of Dragons,Tui T. Sutherland,Length: 10 hrs and 26 mins
The Secret Garden,Frances Hodgson Burnett,Length: 7 hrs and 38 mins
Kulfi and Cappuccino (Hindi Edition),Ashish Chaudhary,Length: 9 hrs and 32 mins
Panchatantra,"Pandit Vishnu Sharma,G. L. Chandiramani",Length: 7 hrs and 31 mins
Ek Chota Sa Kadam Aapki Zindagi Badal Sakta Hai [One Small Step Can Change Your Life],Robert Maurer,Length: 5 hrs and 10 mins
The Wellness Sense,Om Swami,Length: 6 hrs and 10 mins
Son of Bhrigu,Christopher C. Doyle,Length: 10 hrs and 48 mins
Practical Steps to Think and Grow Rich - The Secret Revealed,"Napoleon Hill,Joe Kraynak - editor",Length: 8 hrs and 43 mins
The Alexander Secret (Hindi Edition),Christopher Charles Doyle,Length: 12 hrs and 20 mins
You Can (Hindi Edition),George Matthew Adams,Length: 3 hrs and 58 mins
Panchatantra (Telugu Edition),Vinumaree,Length: 7 hrs and 22 mins
The Meltdown,Jeff Kinney,Length: 2 hrs and 29 mins
A New History of India: From Its Origins to the Twenty-First Century,"Toby Sinclair,Shobita Punja,Rudrangsh Mukherjee",Length: 9 hrs and 47 mins
Sapiens (Tamil Edition),Yuval Noah Harari,Length: 18 hrs and 56 mins
Orwell Collection,George Orwell,Length: 16 hrs and 18 mins
The Ugly Truth,Jeff Kinney,Length: 2 hrs and 29 mins
Scorched Earth,Danielle L. Jensen,Length: 33 hrs and 23 mins
The Ratcatcher,Anthony Khaseria,Length: 5 hrs and 18 mins
The Little Book of Behavioral Investing,James Montier,Length: 5 hrs and 2 mins
A Guide to Stress Free Living,Om Swami,Length: 3 hrs and 52 mins
Oka Yogi Atma Katha [Autobiography of a Yogi],Paramahansa Yogananda,Length: 23 hrs and 25 mins
How to Enjoy Your Life and Your Job (Hindi Edition),Dale Carnegie,Length: 6 hrs and 2 mins
The Woman at No. 3,Rebecca Collomosse,Length: 11 hrs and 10 mins
Shubh Kya Hai (Hindi),OSHO,Length: 1 hr and 31 mins
The Laws of Trading,Agustin Lebron,Length: 11 hrs and 18 mins
Damn Right,Janet Lowe,Length: 13 hrs and 25 mins
The Leadership Sutra,Devdutt Pattanaik,Length: 2 hrs and 39 mins
The Essence of the Bhagavad Gita,Swami Kriyananda,Length: 19 hrs and 47 mins
Still Hung Up on You,Liz Maverick,Length: 2 hrs and 28 mins
Geronimo Stilton #11 & #12,Geronimo Stilton,Length: 2 hrs and 20 mins
Yoga Nidra,Kamini Desai PhD,Length: 15 hrs and 17 mins
Habits for Happiness,"Dr Tim Sharp,Tathagata Mandal - translator",Length: 4 hrs and 1 min
The Fyodor Dostoyevsky Complete Collection,Fyodor Dostoyevsky,Length: 266 hrs and 4 mins
The Fyodor Dostoyevsky Complete Collection,Fyodor Dostoyevsky,Length: 266 hrs and 4 mins
The Choice of Magic,Michael G. Manning,Length: 20 hrs and 42 mins
Raze,Dakota Krout,Length: 10 hrs and 28 mins
Mahabharata Vol 4,Bibek Debroy,Length: 27 hrs and 29 mins
The Traitor Queen,Danielle L. Jensen,Length: 10 hrs and 13 mins
Crystal Bowl Breathing,The Big Quiet,Length: 10 mins
Running Smart,"Mariska Van Sprundel,Danny Guinan - translator",Length: 8 hrs and 28 mins
P. D. James BBC Radio Drama Collection,P. D. James,Length: 16 hrs and 37 mins
Why Is Sex Fun?,Jared Diamond,Length: 5 hrs and 17 mins
The Heart Sutra,Osho,Length: 16 hrs and 24 mins
Ambedkar's India,B.R. Ambedkar,Length: 4 hrs and 32 mins
Little Women,Louisa May Alcott,Length: 12 hrs and 15 mins
Dating Essentials for Men,Dr. Robert Glover,Length: 7 hrs and 26 mins
Ask and It Is Given,Esther Hicks,Length: 3 hrs and 56 mins
Are You Mad at Me?,Meg Josephson,Length: 7 hrs and 1 min
As a Man Thinketh (Hindi Edition),James Allen,Length: 1 hr and 9 mins
Mindfulness in Plain English,Bhante Henepola Gunaratana,Length: 6 hrs and 12 mins
The Quantum Chain,Nick Jones,Length: 12 hrs and 58 mins
The Sialkot Saga (Hindi Edition),Ashwin Sanghi,Length: 18 hrs and 3 mins
Prem Mrityu Ki Kala (Hindi),OSHO,Length: 1 hr and 9 mins
The Possession of Alba Díaz,Isabel Cañas,Length: 11 hrs and 35 mins
Your Money and Your Brain,Jason Zweig,Length: 11 hrs and 39 mins
"Harry Potter and the Philosopher's Stone, Book 1",J.K. Rowling,Length: 8 hrs and 25 mins
The Power of Your Subconscious Mind,Joseph Murphy,Length: 6 hrs and 5 mins
Andheri Raat [Dark Night],Surender Mohan Pathak,Length: 7 hrs and 29 mins
Annihilation of Caste (Marathi Edition),B. R. Ambedkar,Length: 3 hrs and 36 mins
I Wish I Could Tell Her,Ajay K Pandey,Length: 5 hrs and 42 mins
The Third Eye (Hindi Edition),T. Lobsang Rampa,Length: 11 hrs and 47 mins
Maximum Achievement,Brian Tracy,Length: 13 hrs and 25 mins
Finding Flow,Mihaly Csikszentmihalyi,Length: 5 hrs and 6 mins
Art of War,Sun Tzu,Length: 1 hr and 44 mins
The Top 1%,Dan Strutzel,Length: 5 hrs and 10 mins
Yaar Papa (Hindi Edition),Divya Prakash Dubey,Length: 5 hrs and 33 mins
The Untethered Soul,Michael A. Singer,Length: 6 hrs and 11 mins
Stree 360 Degrees,Devdutt Pattanaik,Length: 4 hrs and 19 mins
Zen,Om Swami,Length: 8 hrs and 40 mins
Sunny Days,Sunil Gavaskar,Length: 9 hrs and 42 mins
Think and Grow Rich,Napoleon Hill,Length: 10 hrs and 1 min
A Column of Fire,Ken Follett,Length: 30 hrs and 19 mins
1991,Sanjaya Baru,Length: 5 hrs and 25 mins
Sense and Sensibility,Jane Austen,Length: 11 hrs and 25 mins
1984 (Hindi Edition),George Orwell,Length: 13 hrs and 51 mins
Peppa Pig: Once Upon a Time,Ladybird,Length: 59 mins
Utsav Amar Jati Anand Amar Gotra,OSHO,Length: 17 hrs and 51 mins
The Favor,Suzanne Wright,Length: 15 hrs and 23 mins
Rich Girl Summer,Lily Chu,Length: 10 hrs and 6 mins
Megaliving (Hindi),Robin Sharma,Length: 9 hrs and 24 mins
Peppa Pig's Play-a-long Podcast (Series 1),Ryan Denham,Length: 1 hr and 18 mins
How to Say It: Words That Make a Difference,"Allison Friederichs Atkison,The Great Courses",Length: 4 hrs and 44 mins
"Change Your Paradigm, Change Your Life",Bob Proctor,Length: 5 hrs and 20 mins
A Fistful of Wisdom,Om Swami,Length: 6 hrs and 18 mins
Block by Block,Robert T. Hanlon,Length: 33 hrs and 47 mins
The Feast of Roses,Indu Sundaresan,Length: 17 hrs and 43 mins
The Commuter,"James Patterson,Aaron Tracy",Length: 2 hrs and 30 mins
The Butcher's Masquerade,Matt Dinniman,Length: 23 hrs and 33 mins
21 Kahaniyan Manto [21 Manto Stories],Saadat Hasan Manto,Length: 6 hrs and 44 mins
Persuasion,Jane Austen,Length: 8 hrs and 13 mins
Na Kehne Ki Kala (Hindi Edition),Damon Zahariades,Length: 3 hrs and 22 mins
That Night (Hindi Edition),Nidhi Upadhyay,Length: 7 hrs and 46 mins
Think and Grow Rich (Marathi Edition),Napoleon Hill,Length: 8 hrs and 11 mins
Block by Block,Robert T. Hanlon,Length: 33 hrs and 47 mins
The Feast of Roses,Indu Sundaresan,Length: 17 hrs and 43 mins
The Fallen and the Kiss of Dusk,Carissa Broadbent,Length: 16 hrs and 57 mins
The Commuter,"James Patterson,Aaron Tracy",Length: 2 hrs and 30 mins
The Butcher's Masquerade,Matt Dinniman,Length: 23 hrs and 33 mins
21 Kahaniyan Manto [21 Manto Stories],Saadat Hasan Manto,Length: 6 hrs and 44 mins
Na Kehne Ki Kala (Hindi Edition),Damon Zahariades,Length: 3 hrs and 22 mins
That Night (Hindi Edition),Nidhi Upadhyay,Length: 7 hrs and 46 mins
Think and Grow Rich (Marathi Edition),Napoleon Hill,Length: 8 hrs and 11 mins
Hot for the Fireman,Gina L. Maxwell,Length: 9 hrs and 9 mins
